Time [seconds]	Counts
4.99332e+11	139
1.498e+12	132
2.49666e+12	158
3.49533e+12	163
4.49399e+12	159
5.49265e+12	156
6.49132e+12	155
7.48998e+12	141
8.48865e+12	150
9.48731e+12	137
1.0486e+13	159
1.14846e+13	140
1.24833e+13	167
1.3482e+13	165
1.44806e+13	140
1.54793e+13	180
1.6478e+13	138
1.74766e+13	137
1.84753e+13	152
1.9474e+13	136
2.04726e+13	130
2.14713e+13	139
2.24699e+13	135
2.34686e+13	167
2.44673e+13	156
2.54659e+13	162
2.64646e+13	168
2.74633e+13	163
2.84619e+13	147
2.94606e+13	178
3.04593e+13	174
3.14579e+13	147
3.24566e+13	143
3.34553e+13	127
3.44539e+13	146
3.54526e+13	143
3.64512e+13	151
3.74499e+13	111
3.84486e+13	194
3.94472e+13	144
4.04459e+13	154
4.14446e+13	141
4.24432e+13	181
4.34419e+13	149
4.44406e+13	149
4.54392e+13	146
4.64379e+13	138
4.74366e+13	138
4.84352e+13	167
4.94339e+13	150
5.04325e+13	150
5.14312e+13	152
5.24299e+13	160
5.34285e+13	151
5.44272e+13	173
5.54259e+13	164
5.64245e+13	145
5.74232e+13	136
5.84219e+13	178
5.94205e+13	154
6.04192e+13	155
6.14179e+13	141
6.24165e+13	160
6.34152e+13	161
6.44138e+13	171
6.54125e+13	158
6.64112e+13	148
6.74098e+13	139
6.84085e+13	176
6.94072e+13	142
7.04058e+13	154
7.14045e+13	145
7.24032e+13	156
7.34018e+13	162
7.44005e+13	149
7.53991e+13	151
7.63978e+13	177
7.73965e+13	128
7.83951e+13	160
7.93938e+13	162
8.03925e+13	152
8.13911e+13	139
8.23898e+13	157
8.33885e+13	135
8.43871e+13	144
8.53858e+13	141
8.63845e+13	184
8.73831e+13	154
8.83818e+13	174
8.93805e+13	144
9.03791e+13	156
9.13778e+13	155
9.23764e+13	161
9.33751e+13	155
9.43738e+13	143
9.53724e+13	153
9.63711e+13	164
9.73698e+13	164
9.83684e+13	158
9.93671e+13	131
1.00366e+14	159
1.01364e+14	164
1.02363e+14	138
1.03362e+14	153
1.0436e+14	146
1.05359e+14	172
1.06358e+14	149
1.07356e+14	158
1.08355e+14	156
1.09354e+14	154
1.10352e+14	161
1.11351e+14	151
1.1235e+14	133
1.13348e+14	160
1.14347e+14	148
1.15346e+14	160
1.16344e+14	142
1.17343e+14	173
1.18342e+14	152
1.1934e+14	169
1.20339e+14	139
1.21338e+14	161
1.22336e+14	153
1.23335e+14	172
1.24334e+14	178
1.25332e+14	143
1.26331e+14	157
1.2733e+14	159
1.28328e+14	139
1.29327e+14	151
1.30326e+14	145
1.31324e+14	164
1.32323e+14	166
1.33322e+14	159
1.3432e+14	152
1.35319e+14	170
1.36318e+14	135
1.37316e+14	138
1.38315e+14	160
1.39314e+14	175
1.40312e+14	148
1.41311e+14	164
1.4231e+14	149
1.43308e+14	128
1.44307e+14	156
1.45306e+14	143
1.46304e+14	179
1.47303e+14	177
1.48302e+14	160
1.493e+14	162
1.50299e+14	160
1.51298e+14	158
1.52296e+14	169
1.53295e+14	146
1.54294e+14	140
1.55292e+14	127
1.56291e+14	144
1.5729e+14	162
1.58288e+14	142
1.59287e+14	177
1.60286e+14	160
1.61284e+14	178
1.62283e+14	159
1.63282e+14	144
1.6428e+14	153
1.65279e+14	161
1.66278e+14	154
1.67276e+14	126
1.68275e+14	166
1.69274e+14	169
1.70272e+14	175
1.71271e+14	154
1.7227e+14	149
1.73268e+14	151
1.74267e+14	158
1.75266e+14	151
1.76264e+14	153
1.77263e+14	134
1.78262e+14	162
1.7926e+14	163
1.80259e+14	138
1.81258e+14	155
1.82256e+14	134
1.83255e+14	159
1.84254e+14	160
1.85252e+14	144
1.86251e+14	145
1.8725e+14	138
1.88248e+14	158
1.89247e+14	144
1.90246e+14	172
1.91244e+14	141
1.92243e+14	175
1.93242e+14	143
1.9424e+14	176
1.95239e+14	141
1.96238e+14	168
1.97236e+14	166
1.98235e+14	146
1.99234e+14	151
2.00232e+14	180
2.01231e+14	146
2.0223e+14	171
2.03228e+14	166
2.04227e+14	145
2.05225e+14	158
2.06224e+14	168
2.07223e+14	152
2.08222e+14	149
2.0922e+14	179
2.10219e+14	156
2.11217e+14	143
2.12216e+14	143
2.13215e+14	144
2.14213e+14	138
2.15212e+14	137
2.16211e+14	147
2.17209e+14	160
2.18208e+14	173
2.19207e+14	151
2.20205e+14	144
2.21204e+14	143
2.22203e+14	155
2.23201e+14	129
2.242e+14	154
2.25199e+14	166
2.26197e+14	164
2.27196e+14	150
2.28195e+14	129
2.29193e+14	159
2.30192e+14	148
2.31191e+14	137
2.32189e+14	146
2.33188e+14	174
2.34187e+14	165
2.35185e+14	163
2.36184e+14	167
2.37183e+14	145
2.38181e+14	165
2.3918e+14	141
2.40179e+14	150
2.41177e+14	153
2.42176e+14	152
2.43175e+14	131
2.44173e+14	155
2.45172e+14	149
2.46171e+14	162
2.47169e+14	158
2.48168e+14	145
2.49167e+14	134
2.50165e+14	177
2.51164e+14	171
2.52163e+14	173
2.53161e+14	157
2.5416e+14	172
2.55159e+14	135
2.56157e+14	161
2.57156e+14	144
2.58155e+14	161
2.59153e+14	173
2.60152e+14	126
2.61151e+14	143
2.62149e+14	150
2.63148e+14	145
2.64147e+14	146
2.65145e+14	151
2.66144e+14	175
2.67143e+14	145
2.68141e+14	158
2.6914e+14	168
2.70139e+14	142
2.71137e+14	143
2.72136e+14	129
2.73135e+14	161
2.74133e+14	134
2.75132e+14	151
2.76131e+14	149
2.77129e+14	139
2.78128e+14	145
2.79127e+14	163
2.80125e+14	158
2.81124e+14	163
2.82123e+14	154
2.83121e+14	165
2.8412e+14	149
2.85119e+14	177
2.86117e+14	174
2.87116e+14	157
2.88115e+14	161
2.89113e+14	146
2.90112e+14	172
2.91111e+14	165
2.92109e+14	176
2.93108e+14	146
2.94107e+14	144
2.95105e+14	143
2.96104e+14	150
2.97103e+14	138
2.98101e+14	140
2.991e+14	145
3.00099e+14	161
3.01097e+14	165
3.02096e+14	133
3.03095e+14	157
3.04093e+14	148
3.05092e+14	157
3.06091e+14	143
3.07089e+14	129
3.08088e+14	157
3.09087e+14	146
3.10085e+14	157
3.11084e+14	147
3.12083e+14	154
3.13081e+14	142
3.1408e+14	146
3.15079e+14	118
3.16077e+14	153
3.17076e+14	174
3.18075e+14	148
3.19073e+14	138
3.20072e+14	176
3.21071e+14	142
3.22069e+14	134
3.23068e+14	149
3.24067e+14	147
3.25065e+14	140
3.26064e+14	135
3.27063e+14	142
3.28061e+14	132
3.2906e+14	148
3.30059e+14	139
3.31057e+14	159
3.32056e+14	144
3.33055e+14	136
3.34053e+14	164
3.35052e+14	143
3.36051e+14	140
3.37049e+14	176
3.38048e+14	145
3.39047e+14	167
3.40045e+14	173
3.41044e+14	162
3.42043e+14	166
3.43041e+14	179
3.4404e+14	168
3.45039e+14	141
3.46037e+14	150
3.47036e+14	165
3.48034e+14	130
3.49033e+14	145
3.50032e+14	163
3.5103e+14	140
3.52029e+14	144
3.53028e+14	166
3.54026e+14	160
3.55025e+14	143
3.56024e+14	152
3.57022e+14	166
3.58021e+14	154
3.5902e+14	139
3.60018e+14	144
3.61017e+14	151
3.62016e+14	141
3.63014e+14	144
3.64013e+14	142
3.65012e+14	135
3.6601e+14	153
3.67009e+14	157
3.68008e+14	127
3.69006e+14	146
3.70005e+14	147
3.71004e+14	144
3.72002e+14	155
3.73001e+14	145
3.74e+14	155
3.74998e+14	152
3.75997e+14	146
3.76996e+14	160
3.77994e+14	181
3.78993e+14	171
3.79992e+14	156
3.8099e+14	144
3.81989e+14	162
3.82988e+14	142
3.83986e+14	151
3.84985e+14	156
3.85984e+14	160
3.86982e+14	152
3.87981e+14	163
3.8898e+14	160
3.89978e+14	147
3.90977e+14	140
3.91976e+14	179
3.92974e+14	155
3.93973e+14	155
3.94972e+14	149
3.9597e+14	175
3.96969e+14	162
3.97968e+14	134
3.98966e+14	137
3.99965e+14	158
4.00964e+14	139
4.01962e+14	150
4.02961e+14	157
4.0396e+14	174
4.04958e+14	144
4.05957e+14	140
4.06956e+14	146
