Time [seconds]	Counts
4.98497e+11	147
1.49549e+12	166
2.49248e+12	157
3.48948e+12	176
4.48647e+12	151
5.48347e+12	137
6.48046e+12	140
7.47745e+12	155
8.47445e+12	158
9.47144e+12	155
1.04684e+13	155
1.14654e+13	153
1.24624e+13	175
1.34594e+13	152
1.44564e+13	139
1.54534e+13	142
1.64504e+13	149
1.74474e+13	159
1.84444e+13	169
1.94414e+13	147
2.04384e+13	147
2.14354e+13	133
2.24324e+13	149
2.34294e+13	166
2.44264e+13	162
2.54233e+13	137
2.64203e+13	153
2.74173e+13	146
2.84143e+13	148
2.94113e+13	146
3.04083e+13	140
3.14053e+13	164
3.24023e+13	133
3.33993e+13	141
3.43963e+13	174
3.53933e+13	161
3.63903e+13	150
3.73873e+13	151
3.83843e+13	140
3.93813e+13	149
4.03783e+13	161
4.13752e+13	170
4.23722e+13	145
4.33692e+13	135
4.43662e+13	136
4.53632e+13	150
4.63602e+13	158
4.73572e+13	152
4.83542e+13	159
4.93512e+13	175
5.03482e+13	166
5.13452e+13	132
5.23422e+13	138
5.33392e+13	137
5.43362e+13	161
5.53332e+13	160
5.63302e+13	150
5.73272e+13	162
5.83241e+13	154
5.93211e+13	120
6.03181e+13	175
6.13151e+13	170
6.23121e+13	151
6.33091e+13	158
6.43061e+13	148
6.53031e+13	155
6.63001e+13	171
6.72971e+13	152
6.82941e+13	164
6.92911e+13	145
7.02881e+13	172
7.12851e+13	147
7.22821e+13	152
7.32791e+13	149
7.4276e+13	147
7.5273e+13	147
7.627e+13	148
7.7267e+13	146
7.8264e+13	148
7.9261e+13	136
8.0258e+13	146
8.1255e+13	149
8.2252e+13	143
8.3249e+13	156
8.4246e+13	132
8.5243e+13	151
8.624e+13	174
8.7237e+13	180
8.8234e+13	162
8.9231e+13	153
9.0228e+13	146
9.12249e+13	158
9.22219e+13	148
9.32189e+13	150
9.42159e+13	140
9.52129e+13	160
9.62099e+13	120
9.72069e+13	154
9.82039e+13	170
9.92009e+13	156
1.00198e+14	161
1.01195e+14	148
1.02192e+14	168
1.03189e+14	161
1.04186e+14	148
1.05183e+14	150
1.0618e+14	154
1.07177e+14	179
1.08174e+14	170
1.09171e+14	134
1.10168e+14	146
1.11165e+14	169
1.12162e+14	129
1.13159e+14	155
1.14156e+14	167
1.15153e+14	143
1.1615e+14	167
1.17147e+14	160
1.18144e+14	146
1.19141e+14	154
1.20138e+14	149
1.21135e+14	166
1.22132e+14	153
1.23129e+14	143
1.24126e+14	145
1.25123e+14	168
1.2612e+14	151
1.27117e+14	144
1.28114e+14	151
1.29111e+14	149
1.30108e+14	151
1.31105e+14	151
1.32102e+14	156
1.33099e+14	142
1.34096e+14	154
1.35093e+14	147
1.3609e+14	135
1.37087e+14	154
1.38084e+14	154
1.39081e+14	162
1.40078e+14	164
1.41075e+14	154
1.42072e+14	165
1.43069e+14	163
1.44066e+14	164
1.45063e+14	144
1.4606e+14	164
1.47057e+14	151
1.48054e+14	166
1.49051e+14	144
1.50048e+14	138
1.51045e+14	160
1.52042e+14	148
1.53039e+14	156
1.54036e+14	142
1.55033e+14	144
1.5603e+14	145
1.57027e+14	155
1.58024e+14	156
1.59021e+14	172
1.60018e+14	154
1.61015e+14	132
1.62012e+14	154
1.63009e+14	149
1.64006e+14	159
1.65003e+14	151
1.65999e+14	132
1.66996e+14	144
1.67993e+14	148
1.6899e+14	143
1.69987e+14	162
1.70984e+14	148
1.71981e+14	138
1.72978e+14	159
1.73975e+14	162
1.74972e+14	146
1.75969e+14	128
1.76966e+14	165
1.77963e+14	169
1.7896e+14	158
1.79957e+14	165
1.80954e+14	141
1.81951e+14	168
1.82948e+14	154
1.83945e+14	146
1.84942e+14	161
1.85939e+14	143
1.86936e+14	141
1.87933e+14	131
1.8893e+14	165
1.89927e+14	126
1.90924e+14	157
1.91921e+14	157
1.92918e+14	121
1.93915e+14	154
1.94912e+14	154
1.95909e+14	149
1.96906e+14	164
1.97903e+14	155
1.989e+14	180
1.99897e+14	153
2.00894e+14	145
2.01891e+14	162
2.02888e+14	134
2.03885e+14	151
2.04882e+14	149
2.05879e+14	137
2.06876e+14	155
2.07873e+14	147
2.0887e+14	168
2.09867e+14	159
2.10864e+14	153
2.11861e+14	148
2.12858e+14	177
2.13855e+14	142
2.14852e+14	141
2.15849e+14	130
2.16846e+14	155
2.17843e+14	157
2.1884e+14	158
2.19837e+14	159
2.20834e+14	156
2.21831e+14	144
2.22828e+14	158
2.23825e+14	164
2.24822e+14	142
2.25819e+14	146
2.26816e+14	146
2.27813e+14	173
2.2881e+14	160
2.29807e+14	144
2.30804e+14	165
2.31801e+14	148
2.32798e+14	153
2.33795e+14	173
2.34792e+14	145
2.35789e+14	154
2.36786e+14	141
2.37783e+14	153
2.3878e+14	144
2.39777e+14	136
2.40774e+14	154
2.41771e+14	143
2.42768e+14	143
2.43765e+14	129
2.44762e+14	124
2.45759e+14	171
2.46756e+14	172
2.47753e+14	127
2.4875e+14	154
2.49747e+14	146
2.50744e+14	161
2.51741e+14	154
2.52738e+14	133
2.53735e+14	144
2.54732e+14	178
2.55729e+14	166
2.56726e+14	153
2.57723e+14	148
2.5872e+14	154
2.59717e+14	146
2.60714e+14	155
2.61711e+14	162
2.62708e+14	135
2.63705e+14	154
2.64702e+14	141
2.65699e+14	148
2.66696e+14	153
2.67693e+14	157
2.6869e+14	148
2.69687e+14	133
2.70684e+14	150
2.71681e+14	146
2.72678e+14	148
2.73675e+14	140
2.74672e+14	160
2.75669e+14	147
2.76666e+14	155
2.77663e+14	153
2.7866e+14	142
2.79657e+14	160
2.80654e+14	144
2.81651e+14	152
2.82648e+14	139
2.83645e+14	112
2.84642e+14	156
2.85639e+14	157
2.86636e+14	156
2.87633e+14	156
2.8863e+14	168
2.89627e+14	125
2.90624e+14	139
2.91621e+14	140
2.92618e+14	160
2.93615e+14	139
2.94612e+14	138
2.95609e+14	153
2.96606e+14	152
2.97603e+14	155
2.986e+14	171
2.99597e+14	172
