Channel	Counts
0.499969	321
1.49991	4
2.49985	4
3.49979	6
4.49973	3
5.49966	2
6.4996	8
7.49954	2
8.49948	3
9.49942	7
10.4994	6
11.4993	1
12.4992	3
13.4992	1
14.4991	2
15.4991	3
16.499	2
17.4989	1
18.4989	2
19.4988	4
20.4987	3
21.4987	9
22.4986	2
23.4986	3
24.4985	2
25.4984	3
26.4984	1
27.4983	3
28.4983	2
29.4982	3
30.4981	3
31.4981	3
32.498	3
33.498	3
34.4979	2
35.4978	4
36.4978	2
37.4977	0
38.4977	3
39.4976	2
40.4975	1
41.4975	2
42.4974	3
43.4973	1
44.4973	0
45.4972	1
46.4972	1
47.4971	3
48.497	0
49.497	0
50.4969	2
51.4969	0
52.4968	0
53.4967	2
54.4967	2
55.4966	2
56.4966	0
57.4965	2
58.4964	1
59.4964	1
60.4963	1
61.4962	2
62.4962	1
63.4961	1
64.4961	0
65.496	0
66.4959	2
67.4959	0
68.4958	3
69.4958	3
70.4957	1
71.4956	1
72.4956	3
73.4955	1
74.4955	1
75.4954	1
76.4953	0
77.4953	0
78.4952	1
79.4951	0
80.4951	2
81.495	0
82.495	1
83.4949	1
84.4948	0
85.4948	1
86.4947	1
87.4947	1
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	3
96.4941	0
97.494	1
98.494	2
99.4939	0
100.494	1
101.494	2
102.494	0
103.494	1
104.494	0
105.494	3
106.493	0
107.493	1
108.493	0
109.493	2
110.493	1
111.493	0
112.493	1
113.493	3
114.493	0
115.493	0
116.493	1
117.493	0
118.493	0
119.493	2
120.493	1
121.493	1
122.493	0
123.492	1
124.492	1
125.492	1
126.492	1
127.492	0
128.492	3
129.492	1
130.492	2
131.492	1
132.492	1
133.492	3
134.492	1
135.492	1
136.492	1
137.492	2
138.492	3
139.491	1
140.491	4
141.491	3
142.491	9
143.491	2
144.491	3
145.491	4
146.491	4
147.491	3
148.491	6
149.491	8
150.491	6
151.491	4
152.491	6
153.491	8
154.491	7
155.491	6
156.49	9
157.49	10
158.49	13
159.49	4
160.49	6
161.49	8
162.49	9
163.49	9
164.49	11
165.49	6
166.49	24
167.49	12
168.49	17
169.49	10
170.49	15
171.49	17
172.489	19
173.489	19
174.489	18
175.489	16
176.489	14
177.489	16
178.489	19
179.489	14
180.489	13
181.489	25
182.489	17
183.489	19
184.489	17
185.489	21
186.489	21
187.489	30
188.488	20
189.488	24
190.488	16
191.488	17
192.488	21
193.488	17
194.488	30
195.488	18
196.488	22
197.488	32
198.488	22
199.488	16
200.488	25
201.488	26
202.488	17
203.488	19
204.488	15
205.487	25
206.487	25
207.487	22
208.487	23
209.487	28
210.487	28
211.487	29
212.487	18
213.487	26
214.487	24
215.487	40
216.487	20
217.487	25
218.487	27
219.487	29
220.487	19
221.486	31
222.486	39
223.486	20
224.486	39
225.486	30
226.486	33
227.486	18
228.486	33
229.486	28
230.486	30
231.486	25
232.486	21
233.486	31
234.486	28
235.486	29
236.486	32
237.486	29
238.485	33
239.485	29
240.485	34
241.485	22
242.485	30
243.485	31
244.485	35
245.485	25
246.485	25
247.485	37
248.485	39
249.485	42
250.485	36
251.485	38
252.485	21
253.485	32
254.484	32
255.484	38
256.484	30
257.484	36
258.484	47
259.484	32
260.484	30
261.484	41
262.484	39
263.484	34
264.484	32
265.484	35
266.484	45
267.484	45
268.484	45
269.484	31
270.483	39
271.483	40
272.483	32
273.483	45
274.483	53
275.483	38
276.483	40
277.483	45
278.483	48
279.483	42
280.483	43
281.483	44
282.483	48
283.483	40
284.483	48
285.483	54
286.483	37
287.482	53
288.482	50
289.482	47
290.482	41
291.482	40
292.482	47
293.482	47
294.482	50
295.482	46
296.482	37
297.482	51
298.482	54
299.482	47
300.482	48
301.482	50
302.482	53
303.481	51
304.481	52
305.481	62
306.481	58
307.481	60
308.481	49
309.481	68
310.481	53
311.481	62
312.481	59
313.481	55
314.481	56
315.481	75
316.481	69
317.481	52
318.481	64
319.48	60
320.48	58
321.48	49
322.48	75
323.48	68
324.48	66
325.48	69
326.48	65
327.48	54
328.48	50
329.48	76
330.48	68
331.48	57
332.48	69
333.48	57
334.48	60
335.48	64
336.479	74
337.479	79
338.479	76
339.479	68
340.479	72
341.479	61
342.479	72
343.479	63
344.479	63
345.479	72
346.479	63
347.479	55
348.479	76
349.479	76
350.479	89
351.479	64
352.478	61
353.478	70
354.478	69
355.478	81
356.478	72
357.478	74
358.478	67
359.478	79
360.478	72
361.478	96
362.478	86
363.478	70
364.478	61
365.478	78
366.478	78
367.478	75
368.478	72
369.477	73
370.477	66
371.477	66
372.477	73
373.477	68
374.477	85
375.477	86
376.477	74
377.477	86
378.477	83
379.477	79
380.477	75
381.477	73
382.477	86
383.477	69
384.477	78
385.476	71
386.476	71
387.476	84
388.476	105
389.476	81
390.476	70
391.476	84
392.476	68
393.476	64
394.476	91
395.476	96
396.476	84
397.476	81
398.476	74
399.476	83
400.476	62
401.475	92
402.475	93
403.475	89
404.475	103
405.475	96
406.475	79
407.475	72
408.475	78
409.475	89
410.475	98
411.475	88
412.475	79
413.475	82
414.475	88
415.475	78
416.475	80
417.475	103
418.474	93
419.474	99
420.474	95
421.474	85
