Time [seconds]	Counts
4.99742e+11	137
1.49923e+12	164
2.49871e+12	167
3.4982e+12	140
4.49768e+12	154
5.49717e+12	150
6.49665e+12	156
7.49614e+12	134
8.49562e+12	174
9.49511e+12	152
1.04946e+13	154
1.14941e+13	231
1.24936e+13	163
1.3493e+13	151
1.44925e+13	140
1.5492e+13	141
1.64915e+13	144
1.7491e+13	170
1.84905e+13	145
1.949e+13	154
2.04894e+13	155
2.14889e+13	156
2.24884e+13	151
2.34879e+13	153
2.44874e+13	139
2.54869e+13	134
2.64864e+13	144
2.74858e+13	164
2.84853e+13	156
2.94848e+13	153
3.04843e+13	165
3.14838e+13	147
3.24833e+13	167
3.34827e+13	128
3.44822e+13	155
3.54817e+13	159
3.64812e+13	154
3.74807e+13	138
3.84802e+13	164
3.94797e+13	168
4.04791e+13	138
4.14786e+13	141
4.24781e+13	145
4.34776e+13	134
4.44771e+13	154
4.54766e+13	148
4.6476e+13	156
4.74755e+13	164
4.8475e+13	131
4.94745e+13	156
5.0474e+13	164
5.14735e+13	152
5.2473e+13	152
5.34724e+13	144
5.44719e+13	164
5.54714e+13	161
5.64709e+13	189
5.74704e+13	133
5.84699e+13	166
5.94694e+13	163
6.04688e+13	152
6.14683e+13	143
6.24678e+13	152
6.34673e+13	171
6.44668e+13	144
6.54663e+13	151
6.64657e+13	169
6.74652e+13	164
6.84647e+13	145
6.94642e+13	136
7.04637e+13	168
7.14632e+13	161
7.24627e+13	149
7.34621e+13	135
7.44616e+13	154
7.54611e+13	147
7.64606e+13	161
7.74601e+13	143
7.84596e+13	146
7.94591e+13	130
8.04585e+13	138
8.1458e+13	148
8.24575e+13	153
8.3457e+13	134
8.44565e+13	171
8.5456e+13	157
8.64554e+13	156
8.74549e+13	138
8.84544e+13	139
8.94539e+13	140
9.04534e+13	149
9.14529e+13	149
9.24524e+13	138
9.34518e+13	144
9.44513e+13	149
9.54508e+13	162
9.64503e+13	156
9.74498e+13	147
9.84493e+13	170
9.94487e+13	183
1.00448e+14	161
1.01448e+14	170
1.02447e+14	149
1.03447e+14	138
1.04446e+14	146
1.05446e+14	151
1.06445e+14	163
1.07445e+14	130
1.08444e+14	172
1.09444e+14	141
1.10443e+14	154
1.11443e+14	164
1.12442e+14	161
1.13442e+14	131
1.14441e+14	150
1.15441e+14	124
1.1644e+14	141
1.17439e+14	137
1.18439e+14	139
1.19438e+14	139
1.20438e+14	163
1.21437e+14	144
1.22437e+14	162
1.23436e+14	165
1.24436e+14	134
1.25435e+14	165
1.26435e+14	153
1.27434e+14	147
1.28434e+14	151
1.29433e+14	156
1.30433e+14	172
1.31432e+14	137
1.32432e+14	167
1.33431e+14	178
1.34431e+14	142
1.3543e+14	159
1.3643e+14	138
1.37429e+14	140
1.38429e+14	152
1.39428e+14	145
1.40428e+14	140
1.41427e+14	148
1.42427e+14	138
1.43426e+14	154
1.44426e+14	136
1.45425e+14	158
1.46425e+14	153
1.47424e+14	161
1.48424e+14	148
1.49423e+14	168
1.50422e+14	142
1.51422e+14	144
1.52421e+14	164
1.53421e+14	142
1.5442e+14	139
1.5542e+14	143
1.56419e+14	152
1.57419e+14	167
1.58418e+14	153
1.59418e+14	153
1.60417e+14	148
1.61417e+14	147
1.62416e+14	520
1.63416e+14	162
1.64415e+14	145
1.65415e+14	134
1.66414e+14	155
1.67414e+14	158
1.68413e+14	146
1.69413e+14	145
1.70412e+14	156
1.71412e+14	158
1.72411e+14	152
1.73411e+14	157
1.7441e+14	135
1.7541e+14	150
1.76409e+14	130
1.77409e+14	167
1.78408e+14	140
1.79408e+14	171
1.80407e+14	150
1.81407e+14	137
1.82406e+14	150
1.83405e+14	142
1.84405e+14	154
1.85404e+14	142
1.86404e+14	138
1.87403e+14	144
1.88403e+14	172
1.89402e+14	150
1.90402e+14	165
1.91401e+14	129
1.92401e+14	175
1.934e+14	153
1.944e+14	152
1.95399e+14	180
1.96399e+14	157
1.97398e+14	158
1.98398e+14	139
1.99397e+14	150
2.00397e+14	155
2.01396e+14	140
2.02396e+14	164
2.03395e+14	156
2.04395e+14	141
2.05394e+14	163
2.06394e+14	156
2.07393e+14	150
2.08393e+14	160
2.09392e+14	153
2.10392e+14	144
2.11391e+14	147
2.12391e+14	170
2.1339e+14	162
2.1439e+14	155
2.15389e+14	136
2.16388e+14	141
2.17388e+14	180
2.18387e+14	142
2.19387e+14	150
2.20386e+14	158
2.21386e+14	141
2.22385e+14	162
2.23385e+14	156
2.24384e+14	146
2.25384e+14	144
2.26383e+14	160
2.27383e+14	160
2.28382e+14	175
2.29382e+14	139
2.30381e+14	143
2.31381e+14	150
2.3238e+14	162
2.3338e+14	155
2.34379e+14	168
2.35379e+14	169
2.36378e+14	143
2.37378e+14	130
2.38377e+14	156
2.39377e+14	171
2.40376e+14	151
2.41376e+14	131
2.42375e+14	151
2.43375e+14	145
2.44374e+14	164
2.45374e+14	137
2.46373e+14	135
2.47373e+14	165
2.48372e+14	151
2.49371e+14	138
2.50371e+14	132
2.5137e+14	148
2.5237e+14	134
2.53369e+14	145
2.54369e+14	148
2.55368e+14	146
2.56368e+14	125
2.57367e+14	142
2.58367e+14	131
2.59366e+14	146
2.60366e+14	136
2.61365e+14	149
2.62365e+14	149
2.63364e+14	158
2.64364e+14	161
2.65363e+14	141
2.66363e+14	150
2.67362e+14	161
2.68362e+14	157
2.69361e+14	156
2.70361e+14	155
2.7136e+14	147
2.7236e+14	142
2.73359e+14	143
2.74359e+14	185
2.75358e+14	160
2.76358e+14	126
2.77357e+14	145
2.78357e+14	148
2.79356e+14	181
2.80356e+14	152
2.81355e+14	128
2.82354e+14	153
2.83354e+14	133
2.84353e+14	171
2.85353e+14	132
2.86352e+14	136
2.87352e+14	162
2.88351e+14	174
2.89351e+14	162
2.9035e+14	151
2.9135e+14	161
2.92349e+14	156
2.93349e+14	146
2.94348e+14	166
2.95348e+14	147
2.96347e+14	130
2.97347e+14	161
2.98346e+14	144
2.99346e+14	172
3.00345e+14	141
3.01345e+14	147
3.02344e+14	149
3.03344e+14	168
