Time [seconds]	Counts
4.96369e+11	147
1.48911e+12	139
2.48184e+12	161
3.47458e+12	161
4.46732e+12	159
5.46006e+12	159
6.4528e+12	154
7.44553e+12	158
8.43827e+12	150
9.43101e+12	158
1.04237e+13	174
1.14165e+13	155
1.24092e+13	134
1.3402e+13	144
1.43947e+13	146
1.53874e+13	127
1.63802e+13	139
1.73729e+13	152
1.83657e+13	159
1.93584e+13	152
2.03511e+13	131
2.13439e+13	134
2.23366e+13	151
2.33293e+13	163
2.43221e+13	142
2.53148e+13	148
2.63076e+13	151
2.73003e+13	157
2.8293e+13	148
2.92858e+13	156
3.02785e+13	163
3.12712e+13	143
3.2264e+13	173
3.32567e+13	163
3.42495e+13	161
3.52422e+13	168
3.62349e+13	150
3.72277e+13	151
3.82204e+13	161
3.92131e+13	163
4.02059e+13	160
4.11986e+13	164
4.21914e+13	153
4.31841e+13	147
4.41768e+13	149
4.51696e+13	133
4.61623e+13	156
4.7155e+13	147
4.81478e+13	140
4.91405e+13	166
5.01333e+13	154
5.1126e+13	152
5.21187e+13	148
5.31115e+13	136
5.41042e+13	138
5.5097e+13	130
5.60897e+13	150
5.70824e+13	132
5.80752e+13	145
5.90679e+13	139
6.00606e+13	168
6.10534e+13	123
6.20461e+13	151
6.30389e+13	129
6.40316e+13	158
6.50243e+13	151
6.60171e+13	154
6.70098e+13	161
6.80025e+13	159
6.89953e+13	143
6.9988e+13	134
7.09808e+13	158
7.19735e+13	156
7.29662e+13	146
7.3959e+13	161
7.49517e+13	164
7.59445e+13	134
7.69372e+13	164
7.79299e+13	162
7.89227e+13	144
7.99154e+13	145
8.09081e+13	156
8.19009e+13	176
8.28936e+13	127
8.38863e+13	141
8.48791e+13	158
8.58718e+13	154
8.68646e+13	144
8.78573e+13	167
8.885e+13	148
8.98428e+13	158
9.08355e+13	139
9.18283e+13	148
9.2821e+13	147
9.38137e+13	175
9.48065e+13	142
9.57992e+13	149
9.67919e+13	140
9.77847e+13	159
9.87774e+13	152
9.97702e+13	152
1.00763e+14	159
1.01756e+14	179
1.02748e+14	140
1.03741e+14	155
1.04734e+14	143
1.05727e+14	165
1.06719e+14	154
1.07712e+14	147
1.08705e+14	153
1.09698e+14	144
1.1069e+14	138
1.11683e+14	168
1.12676e+14	161
1.13668e+14	142
1.14661e+14	137
1.15654e+14	152
1.16647e+14	139
1.17639e+14	150
1.18632e+14	167
1.19625e+14	144
