Time [seconds]	Counts
4.96297e+11	195
1.48889e+12	220
2.48148e+12	193
3.47408e+12	179
4.46667e+12	174
5.45926e+12	187
6.45186e+12	183
7.44445e+12	174
8.43704e+12	183
9.42964e+12	183
1.04222e+13	180
1.14148e+13	198
1.24074e+13	183
1.34e+13	190
1.43926e+13	180
1.53852e+13	171
1.63778e+13	171
1.73704e+13	178
1.8363e+13	184
1.93556e+13	198
2.03482e+13	192
2.13408e+13	164
2.23334e+13	178
2.33259e+13	189
2.43185e+13	196
2.53111e+13	160
2.63037e+13	185
2.72963e+13	188
2.82889e+13	183
2.92815e+13	180
3.02741e+13	194
3.12667e+13	152
3.22593e+13	175
3.32519e+13	181
3.42445e+13	172
3.52371e+13	187
3.62297e+13	197
3.72223e+13	166
3.82148e+13	213
3.92074e+13	175
4.02e+13	212
4.11926e+13	186
4.21852e+13	176
4.31778e+13	182
4.41704e+13	191
4.5163e+13	179
4.61556e+13	193
4.71482e+13	194
4.81408e+13	183
4.91334e+13	188
5.0126e+13	208
5.11186e+13	167
5.21112e+13	196
5.31038e+13	184
5.40963e+13	193
5.50889e+13	167
5.60815e+13	174
5.70741e+13	203
5.80667e+13	206
5.90593e+13	190
6.00519e+13	179
6.10445e+13	184
6.20371e+13	189
6.30297e+13	177
6.40223e+13	189
6.50149e+13	168
6.60075e+13	198
6.70001e+13	184
6.79927e+13	186
6.89852e+13	187
6.99778e+13	184
7.09704e+13	192
7.1963e+13	176
7.29556e+13	190
7.39482e+13	143
7.49408e+13	177
7.59334e+13	192
7.6926e+13	169
7.79186e+13	171
7.89112e+13	176
7.99038e+13	199
8.08964e+13	185
8.1889e+13	188
8.28816e+13	169
8.38742e+13	182
8.48668e+13	195
8.58593e+13	177
8.68519e+13	190
8.78445e+13	189
8.88371e+13	186
8.98297e+13	181
9.08223e+13	186
9.18149e+13	169
9.28075e+13	187
9.38001e+13	200
9.47927e+13	204
9.57853e+13	211
9.67779e+13	185
9.77705e+13	205
9.87631e+13	204
9.97556e+13	178
1.00748e+14	187
1.01741e+14	164
1.02733e+14	169
1.03726e+14	167
1.04719e+14	192
1.05711e+14	177
1.06704e+14	172
1.07696e+14	201
1.08689e+14	157
1.09682e+14	179
1.10674e+14	182
1.11667e+14	171
1.12659e+14	203
1.13652e+14	170
1.14645e+14	189
1.15637e+14	176
1.1663e+14	180
1.17622e+14	199
1.18615e+14	186
1.19608e+14	178
