Channel	Counts
0.499969	32
1.49991	0
2.49985	0
3.49979	0
4.49973	1
5.49966	0
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	1
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	1
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	0
85.4948	0
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	1
93.4943	0
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	0
99.4939	1
100.494	0
101.494	0
102.494	0
103.494	1
104.494	0
105.494	0
106.493	0
107.493	0
108.493	0
109.493	0
110.493	1
111.493	0
112.493	0
113.493	0
114.493	0
115.493	0
116.493	0
117.493	2
118.493	1
119.493	0
120.493	0
121.493	1
122.493	0
123.492	0
124.492	0
125.492	0
126.492	1
127.492	3
128.492	0
129.492	2
130.492	4
131.492	4
132.492	0
133.492	0
134.492	2
135.492	1
136.492	2
137.492	5
138.492	0
139.491	4
140.491	7
141.491	2
142.491	3
143.491	3
144.491	3
145.491	1
146.491	6
147.491	1
148.491	5
149.491	8
150.491	11
151.491	7
152.491	9
153.491	2
154.491	6
155.491	12
156.49	8
157.49	17
158.49	15
159.49	15
160.49	11
161.49	17
162.49	17
163.49	11
164.49	16
165.49	17
166.49	16
167.49	15
168.49	20
169.49	16
170.49	19
171.49	14
172.489	15
173.489	15
174.489	25
175.489	18
176.489	21
177.489	20
178.489	24
179.489	20
180.489	28
181.489	23
182.489	17
183.489	26
184.489	22
185.489	24
186.489	22
187.489	22
188.488	19
189.488	24
190.488	26
191.488	22
192.488	22
193.488	18
194.488	30
195.488	25
196.488	32
197.488	28
198.488	14
199.488	22
200.488	21
201.488	24
202.488	40
203.488	32
204.488	29
205.487	29
206.487	32
207.487	23
208.487	33
209.487	40
210.487	23
211.487	30
212.487	23
213.487	33
214.487	23
215.487	24
216.487	30
217.487	22
218.487	32
219.487	23
220.487	29
221.486	26
222.486	29
223.486	39
224.486	34
225.486	36
226.486	29
227.486	26
228.486	32
229.486	30
230.486	37
231.486	33
232.486	35
233.486	43
234.486	36
235.486	29
236.486	42
237.486	40
238.485	25
239.485	32
240.485	44
241.485	34
242.485	28
243.485	40
244.485	44
245.485	35
246.485	35
247.485	50
248.485	32
249.485	42
250.485	37
251.485	37
252.485	31
253.485	45
254.484	30
255.484	39
256.484	53
257.484	33
258.484	40
259.484	32
260.484	43
261.484	43
262.484	50
263.484	35
264.484	45
265.484	56
266.484	40
267.484	52
268.484	39
269.484	50
270.483	47
271.483	54
272.483	46
273.483	49
274.483	43
275.483	44
276.483	44
277.483	55
278.483	54
279.483	48
280.483	53
281.483	46
282.483	55
283.483	50
284.483	54
285.483	66
286.483	46
287.482	54
288.482	51
289.482	38
290.482	56
291.482	61
292.482	46
293.482	58
294.482	53
295.482	52
296.482	66
297.482	69
298.482	54
299.482	67
300.482	54
301.482	66
302.482	56
303.481	63
304.481	63
305.481	62
306.481	66
307.481	55
308.481	65
309.481	66
310.481	69
311.481	70
312.481	69
313.481	70
314.481	72
315.481	79
316.481	80
317.481	57
318.481	83
319.48	69
320.48	73
321.48	70
322.48	74
323.48	61
324.48	58
325.48	67
326.48	83
327.48	66
328.48	80
329.48	81
330.48	75
331.48	66
332.48	67
333.48	68
334.48	73
335.48	67
336.479	63
337.479	75
338.479	88
339.479	106
340.479	77
341.479	74
342.479	70
343.479	76
344.479	84
345.479	89
346.479	73
347.479	81
348.479	74
349.479	71
350.479	87
351.479	76
352.478	80
353.478	78
354.478	82
355.478	86
356.478	75
357.478	77
358.478	100
359.478	87
360.478	63
361.478	98
362.478	80
363.478	79
364.478	95
365.478	98
366.478	87
367.478	105
368.478	70
369.477	77
370.477	89
371.477	97
372.477	79
373.477	88
374.477	79
375.477	88
376.477	76
377.477	86
378.477	73
379.477	95
380.477	91
381.477	96
382.477	88
383.477	77
384.477	98
385.476	94
386.476	81
387.476	90
388.476	88
389.476	100
390.476	87
391.476	87
392.476	80
393.476	85
394.476	112
395.476	95
396.476	91
397.476	87
398.476	90
399.476	88
400.476	76
401.475	77
402.475	90
403.475	99
404.475	90
405.475	92
406.475	89
407.475	89
408.475	84
409.475	93
410.475	79
411.475	81
412.475	89
413.475	92
414.475	103
415.475	94
416.475	77
417.475	101
418.474	86
419.474	98
420.474	99
421.474	78
422.474	85
423.474	107
424.474	84
425.474	103
426.474	81
427.474	85
428.474	85
429.474	112
430.474	86
431.474	107
432.474	92
433.474	93
434.473	104
435.473	96
436.473	92
437.473	94
438.473	101
439.473	91
440.473	96
441.473	100
442.473	117
443.473	90
444.473	85
445.473	85
446.473	103
447.473	92
448.473	98
449.473	109
450.473	87
451.472	90
452.472	90
453.472	90
454.472	95
455.472	82
456.472	95
457.472	111
458.472	101
459.472	103
460.472	100
461.472	95
462.472	80
463.472	100
464.472	90
465.472	101
466.472	86
467.471	74
468.471	113
469.471	80
470.471	78
471.471	75
472.471	110
473.471	93
474.471	110
475.471	108
476.471	108
477.471	93
478.471	116
479.471	127
480.471	74
481.471	88
482.471	81
483.47	96
484.47	97
485.47	76
486.47	80
487.47	96
488.47	86
489.47	113
490.47	87
491.47	92
492.47	92
493.47	82
494.47	107
495.47	78
496.47	82
497.47	80
498.47	82
499.47	113
500.469	94
501.469	88
502.469	75
503.469	99
504.469	117
505.469	85
506.469	101
507.469	87
508.469	85
509.469	82
510.469	99
511.469	93
512.469	91
513.469	80
514.469	110
515.469	108
516.469	95
517.468	87
518.468	83
519.468	80
520.468	73
521.468	100
522.468	91
523.468	84
524.468	102
525.468	107
526.468	86
527.468	98
528.468	82
529.468	116
530.468	89
531.468	109
532.468	87
533.467	86
534.467	88
535.467	97
536.467	95
537.467	82
538.467	84
539.467	88
540.467	82
541.467	91
542.467	100
543.467	89
544.467	100
545.467	92
546.467	88
547.467	81
548.467	89
549.466	101
550.466	92
551.466	98
552.466	72
553.466	75
554.466	74
555.466	100
556.466	77
557.466	98
558.466	73
559.466	86
560.466	81
561.466	104
562.466	100
563.466	89
564.466	71
565.466	75
566.465	92
567.465	93
568.465	82
569.465	89
570.465	82
571.465	86
572.465	67
573.465	92
574.465	72
575.465	91
576.465	93
577.465	98
578.465	81
579.465	98
580.465	87
581.465	80
582.464	96
583.464	88
584.464	91
585.464	87
586.464	83
587.464	88
588.464	99
589.464	102
590.464	98
591.464	92
592.464	81
593.464	80
594.464	82
595.464	104
596.464	76
597.464	88
598.464	93
599.463	79
600.463	101
601.463	91
602.463	82
603.463	87
604.463	94
605.463	78
606.463	99
607.463	102
608.463	79
609.463	81
610.463	81
611.463	75
612.463	87
613.463	99
614.463	89
615.462	83
616.462	87
617.462	107
618.462	85
619.462	94
620.462	85
621.462	79
622.462	81
623.462	111
624.462	81
625.462	95
626.462	94
627.462	81
628.462	87
629.462	82
630.462	80
631.461	84
632.461	78
633.461	83
634.461	94
635.461	89
636.461	79
637.461	83
638.461	78
639.461	91
640.461	92
641.461	82
642.461	63
643.461	98
644.461	82
645.461	88
646.461	76
647.461	93
648.46	82
649.46	84
650.46	73
651.46	85
652.46	88
653.46	81
654.46	78
655.46	75
656.46	82
657.46	90
658.46	80
659.46	87
660.46	76
661.46	76
662.46	98
663.46	90
664.459	87
665.459	61
666.459	81
667.459	75
668.459	81
669.459	72
670.459	89
671.459	88
672.459	80
673.459	86
674.459	92
675.459	82
676.459	82
677.459	79
678.459	77
679.459	80
680.458	77
681.458	92
682.458	84
683.458	80
684.458	74
685.458	74
686.458	62
687.458	92
688.458	69
689.458	79
690.458	68
691.458	74
692.458	78
693.458	93
694.458	75
695.458	86
696.458	71
697.457	75
698.457	79
699.457	71
700.457	81
701.457	63
702.457	70
703.457	79
704.457	89
705.457	75
706.457	63
707.457	86
708.457	80
709.457	75
710.457	65
711.457	82
712.457	94
713.456	84
714.456	87
715.456	80
716.456	96
717.456	77
718.456	97
719.456	82
720.456	82
721.456	69
722.456	76
723.456	97
724.456	70
725.456	78
726.456	86
727.456	95
728.456	63
729.456	78
730.455	91
731.455	85
732.455	77
733.455	85
734.455	67
735.455	63
736.455	69
737.455	70
738.455	76
739.455	81
740.455	68
741.455	70
742.455	94
743.455	72
744.455	83
745.455	87
746.454	63
747.454	70
748.454	90
749.454	65
750.454	81
751.454	94
752.454	66
753.454	75
754.454	73
755.454	76
756.454	75
757.454	56
758.454	77
759.454	80
760.454	84
761.454	60
762.453	77
763.453	69
764.453	84
765.453	51
766.453	63
767.453	89
768.453	70
769.453	69
770.453	79
771.453	91
772.453	81
773.453	64
774.453	57
775.453	78
776.453	62
777.453	57
778.453	70
779.452	62
780.452	64
781.452	61
782.452	92
783.452	70
784.452	76
785.452	56
786.452	59
787.452	59
788.452	66
789.452	77
790.452	74
791.452	71
792.452	61
793.452	61
794.452	67
795.451	57
796.451	70
797.451	66
798.451	61
799.451	81
800.451	66
801.451	67
802.451	59
803.451	67
804.451	77
805.451	52
806.451	59
807.451	62
808.451	72
809.451	52
810.451	62
811.451	57
812.45	69
813.45	67
814.45	56
815.45	62
816.45	62
817.45	71
818.45	67
819.45	60
820.45	76
821.45	79
822.45	62
823.45	72
824.45	64
825.45	71
826.45	66
827.45	66
828.449	61
829.449	73
830.449	61
831.449	72
832.449	70
833.449	66
834.449	53
835.449	66
836.449	87
837.449	49
838.449	53
839.449	56
840.449	66
841.449	76
842.449	73
843.449	54
844.448	79
845.448	65
846.448	56
847.448	71
848.448	65
849.448	72
850.448	57
851.448	75
852.448	67
853.448	52
854.448	56
855.448	76
856.448	76
857.448	70
858.448	59
859.448	67
860.448	63
861.447	59
862.447	67
863.447	56
864.447	71
865.447	58
866.447	56
867.447	61
868.447	66
869.447	58
870.447	67
871.447	49
872.447	54
873.447	73
874.447	64
875.447	53
876.447	66
877.446	60
878.446	59
879.446	72
880.446	57
881.446	60
882.446	63
883.446	62
884.446	59
885.446	60
886.446	66
887.446	60
888.446	57
889.446	77
890.446	60
891.446	57
892.446	60
893.445	61
894.445	67
895.445	66
896.445	70
897.445	67
898.445	66
899.445	82
900.445	53
901.445	75
902.445	52
903.445	62
904.445	72
905.445	68
906.445	68
907.445	73
908.445	55
909.445	65
910.444	58
911.444	59
912.444	65
913.444	65
914.444	50
915.444	66
916.444	70
917.444	70
918.444	44
919.444	61
920.444	55
921.444	56
922.444	58
923.444	58
924.444	61
925.444	59
926.443	63
927.443	51
928.443	65
929.443	62
930.443	65
931.443	59
932.443	63
933.443	69
934.443	57
935.443	63
936.443	61
937.443	62
938.443	60
939.443	57
940.443	66
941.443	51
