Time [seconds]	Counts
4.96353e+11	156
1.48906e+12	148
2.48177e+12	138
3.47447e+12	138
4.46718e+12	135
5.45988e+12	156
6.45259e+12	173
7.4453e+12	173
8.438e+12	130
9.43071e+12	161
1.04234e+13	150
1.14161e+13	139
1.24088e+13	127
1.34015e+13	166
1.43942e+13	149
1.53869e+13	155
1.63797e+13	155
1.73724e+13	160
1.83651e+13	146
1.93578e+13	151
2.03505e+13	161
2.13432e+13	159
2.23359e+13	136
2.33286e+13	123
2.43213e+13	148
2.5314e+13	152
2.63067e+13	166
2.72994e+13	155
2.82921e+13	145
2.92848e+13	157
3.02775e+13	163
3.12702e+13	168
3.2263e+13	188
3.32557e+13	177
3.42484e+13	163
3.52411e+13	167
3.62338e+13	129
3.72265e+13	136
3.82192e+13	160
3.92119e+13	127
4.02046e+13	129
4.11973e+13	148
4.219e+13	130
4.31827e+13	154
4.41754e+13	161
4.51681e+13	167
4.61608e+13	162
4.71535e+13	161
4.81462e+13	160
4.9139e+13	165
5.01317e+13	141
5.11244e+13	174
5.21171e+13	162
5.31098e+13	149
5.41025e+13	161
5.50952e+13	171
5.60879e+13	151
5.70806e+13	144
5.80733e+13	159
5.9066e+13	150
6.00587e+13	140
6.10514e+13	158
6.20441e+13	163
6.30368e+13	161
6.40295e+13	139
6.50223e+13	146
6.6015e+13	150
6.70077e+13	135
6.80004e+13	135
6.89931e+13	154
6.99858e+13	159
7.09785e+13	156
7.19712e+13	150
7.29639e+13	151
7.39566e+13	154
7.49493e+13	165
7.5942e+13	137
7.69347e+13	124
7.79274e+13	131
7.89201e+13	159
7.99128e+13	146
8.09055e+13	162
8.18983e+13	138
8.2891e+13	142
8.38837e+13	133
8.48764e+13	164
8.58691e+13	133
8.68618e+13	135
8.78545e+13	141
8.88472e+13	159
8.98399e+13	156
9.08326e+13	145
9.18253e+13	149
9.2818e+13	140
9.38107e+13	136
9.48034e+13	162
9.57961e+13	137
9.67888e+13	169
9.77816e+13	131
9.87743e+13	134
9.9767e+13	115
1.0076e+14	158
1.01752e+14	150
1.02745e+14	166
1.03738e+14	159
1.04731e+14	145
1.05723e+14	160
1.06716e+14	129
1.07709e+14	153
1.08701e+14	149
1.09694e+14	151
1.10687e+14	151
1.11679e+14	156
1.12672e+14	168
1.13665e+14	144
1.14658e+14	148
1.1565e+14	153
1.16643e+14	156
1.17636e+14	148
1.18628e+14	136
1.19621e+14	143
